count	reward_sum	squared_reward_sum	length
503	-75.08993016881868	11.483110052374506	1000
504	-59.16437159618363	6.597038367024547	1000
505	-51.73865808104165	6.803347828907901	1000
506	-63.464476175024174	7.669815170149272	1000
507	-46.35056528868154	8.797486016264303	1000
508	-45.67956985440105	15.532586409511575	1000
509	-47.251316521083936	7.602413163609255	1000
510	-55.09164127474651	6.965679345565684	1000
511	-73.67170072719455	13.306385793050872	1000
512	-66.38931705954019	14.064074122537473	1000
513	-63.454570728354156	14.65390510233815	1000
514	-66.8128075900022	5.74579954127136	1000
515	-120.88386872084811	10004.702865086243	150
516	-73.39844082505442	9.66009210686407	1000
517	-114.31022063922137	10006.8886297165	55
518	-118.83136358950287	10007.943719499111	77
519	-113.58196623204276	10005.335284940784	58
520	-69.9602770335041	7.484672495858017	1000
521	-37.27733214292675	7.223887756852384	1000
522	-46.7792236416135	13.967118115866475	1000
523	-68.33413795474917	7.911615813484205	1000
524	-46.835609765257686	8.589492239275687	1000
525	-65.76598622882739	5.376860005929096	1000
526	-50.657731945160776	8.309988892661854	1000
527	-53.35491194855422	7.055355099237101	1000
528	-63.122948350152	10.528129411632143	1000
529	-53.291096051223576	8.64959718463484	1000
530	-52.20990208117291	5.834658994306752	1000
531	-51.60620746342465	7.241131595992025	1000
532	-78.35769332153723	12.293947030932172	1000
533	-66.01053220033646	10.264909528423802	1000
534	-148.8744005272165	10009.507055169575	967
535	-45.57663753768429	4.9729488847355	1000
536	-38.24367516674101	7.797702357005046	1000
537	-39.234235058771446	9.983338874364236	1000
538	-64.04619371052831	11.746061177109103	1000
539	-51.0250501902774	4.839010493079312	1000
540	-50.40018056961708	4.0349471405241255	1000
541	-48.54483269434422	4.4607785778112214	1000
542	-46.6085000281746	5.3757693951764685	1000
543	-52.70573874237016	11.614376989444176	1000
544	-29.80500392918475	5.858130907141205	1000
545	-59.26357239112258	7.7108157489201785	1000
546	-42.05585480481386	2.3440015007219843	1000
547	-62.55879422748694	9.841561384703493	1000
548	-44.964469662401825	2.680468057694545	1000
549	-57.950790603645146	5.986536313228808	1000
550	-40.005159760825336	2.248167650254104	1000
551	-82.73998970258981	8.850332394206673	1000
552	-37.04996391944587	2.238085914145059	1000
553	-35.72341652913019	1.9398588211399133	1000
554	-34.65297422884032	1.7080559982378483	1000
555	-29.532909932313487	2.629743788078347	1000
556	-55.64697257056832	6.843507445896763	1000
557	-29.50309817562811	1.4523429972270425	1000
558	-29.65973288938403	1.5520415775665735	1000
559	-35.135016119573265	1.7991800038985934	1000
560	-26.942049554083496	1.6107918558170646	1000
561	-26.47662643250078	2.5314870110305705	1000
562	-38.776530705508776	2.705479340229283	1000
563	-31.35276082227938	3.3883426777704386	1000
564	-41.87130402075127	2.2792423153654573	1000
565	-29.802562751312507	1.8949370068621483	1000
566	-34.28929221944418	1.8325441199386665	1000
567	-28.355421505169943	7.184046238483732	1000
568	-37.65760656807106	1.6941592346222227	1000
569	-33.278002653620206	1.6709341472497683	1000
570	-32.83329942380078	2.927695337120834	1000
571	-35.38244267005939	2.194998683070864	1000
572	-43.91670102137141	2.597323038078727	1000
573	-39.98431447800249	2.5937473632078567	1000
574	-48.048022869974375	3.2146365768748177	1000
575	-46.88683503278298	6.640645036485464	1000
576	-31.501256815245142	3.2085151335351356	1000
577	-33.518590395804495	2.67061791014637	1000
578	-38.070879741804674	2.3916324072161226	1000
579	-39.18627492408268	3.234752959637561	1000
580	-96.99291435739724	10005.601746958013	302
581	-94.87929173430894	10004.34887319374	162
582	-39.21442381851375	3.4753517984990894	1000
583	-40.966112637892365	2.9142669031256396	1000
584	-37.23336524423212	3.5564023436965457	1000
585	-28.238945780321956	7.962325975557285	1000
586	3.404391553485766	9.631155705515944	1000
587	-90.03007838886697	10015.049066137839	636
588	-16.476057585328817	10.162826558308684	1000
589	-37.77942917402834	9.478753437261892	1000
590	-29.963787614484318	8.262322698452378	1000
